time,mains,microwave,dishwasher
1,341.282232,6.8640137,15.292175
2,342.117396,6.868164,14.658569
3,343.427122,6.872284,13.173767
4,342.978608,6.8758545,12.070923
5,344.79789800000003,6.8785095,10.253418
6,344.432412,6.880432,9.382874
7,344.868716,6.881134,9.997498
8,345.17722200000003,6.880554,9.456909
9,345.48003,6.878235,5.909607
10,345.811328,6.874939,2.7774658
11,346.345312,6.8719788,3.52063
12,346.69289000000003,6.869568,0.0
13,346.5016,6.8661804,0.0
14,345.918776,6.8625793,0.029724121
15,345.01849200000004,6.8594055,0.0
16,344.696148,6.856781,2.5118408
17,346.15239399999996,6.8537292,3.111145
18,344.863832,6.847809,4.3671265
19,343.67783399999996,6.8384705,5.765259
20,343.30665,6.831421,5.0579224
21,343.462124,6.82782,5.2076416
22,344.990002,6.8249817,6.592224
23,345.865866,6.8250732,2.6560059
24,341.00710000000004,6.8289185,2.892273
25,340.604984,6.8345947,6.2938843
26,340.14995799999997,6.8401794,9.019104
27,340.173564,6.8457947,12.227905
28,340.11251400000003,6.8521423,14.666016
29,340.714874,6.85907,16.214722
30,342.58218999999997,6.865631,23.00238
31,342.368922,6.870453,28.38269
32,342.703476,6.87265,29.912354
33,342.7979,6.8721924,37.78723
34,343.375026,6.867279,41.01178
35,345.22362,6.858673,45.080505
36,345.844702,6.847534,47.900208
37,345.708764,6.8340454,53.145874
38,346.491018,6.819824,56.413086
39,345.43119,6.808197,55.927246
40,345.042098,6.799988,60.66455
41,344.011574,6.7943115,60.20215
42,342.482882,6.790222,58.33252
43,339.48899,6.788025,60.313538
44,338.093794,6.788269,61.44049
45,337.790172,6.7898254,61.31006
46,337.941576,6.7910767,64.13208
47,337.827616,6.7933655,63.24298
48,337.550042,6.7975464,63.835083
49,337.45887400000004,6.7993774,63.76703
50,337.73888999999997,6.796509,59.139465
51,336.86872400000004,6.79303,57.99121
52,336.829652,6.791443,56.951538
53,339.115364,6.790497,53.71924
54,341.652602,6.7910767,55.29895
55,339.156064,6.7933655,50.335938
56,337.207348,6.7957764,42.615295
57,336.97128799999996,6.798462,38.575745
58,336.472306,6.8014526,35.887024
59,337.650164,6.805084,33.381348
60,338.89721199999997,6.8099365,34.1308
61,338.64487199999996,6.8140564,29.297607
62,338.56021599999997,6.8167114,24.685059
63,338.443814,6.8190002,23.042236
64,338.030302,6.8202515,21.003113
65,339.63388199999997,6.819153,16.34729
66,340.63835800000004,6.8187256,15.176086
67,340.53986399999997,6.820099,14.304871
68,340.831276,6.8210144,12.994202
69,341.55410800000004,6.82135,13.645447
70,339.76086599999996,6.8221436,15.444214
71,339.63144,6.82312,11.790894
72,340.442184,6.8230286,11.994385
73,340.89151200000003,6.8217773,12.7276
74,340.57486600000004,6.8207397,14.642151
75,340.66033600000003,6.820343,13.910217
76,341.068964,6.8200684,10.733032
77,341.268394,6.8196716,7.2373657
78,340.62859000000003,6.81958,11.701843
79,340.3152,6.820099,10.238403
80,340.30217600000003,6.820862,10.850952
81,340.69371,6.8213806,14.841187
82,340.31113000000005,6.8214417,14.742065
83,340.362412,6.8215027,11.207886
84,340.53498,6.8217773,10.563843
85,340.495908,6.8208313,11.28064
86,340.957446,6.8187256,11.083496
87,340.432416,6.817047,10.969788
88,340.29485,6.8155823,9.092041
89,341.34409600000004,6.8137207,9.805542
90,340.927328,6.8118896,8.833435
91,340.406368,6.810608,10.169617
92,340.157284,6.8097534,8.518616
93,339.841452,6.8076477,7.6534424
94,340.20368199999996,6.805359,2.8677368
95,339.494688,6.8035583,0.0
96,339.558994,6.801178,0.0
97,340.180076,6.797882,0.05102539
98,339.036406,6.7943115,0.0
99,339.388868,6.7918396,0.0
100,338.968844,6.789551,0.0
101,339.389682,6.7863464,0.0
102,338.61719600000004,6.7828674,0.0
103,337.572834,6.7800903,0.0
104,337.83657,6.778015,0.0
105,338.046582,6.776367,0.0
106,338.10763199999997,6.7750854,0.0
107,336.845118,6.774231,0.0
108,336.767788,6.7737427,0.0
109,336.404744,6.773712,0.0
110,336.456026,6.7734375,0.0
111,336.415326,6.773529,0.0
112,336.316018,6.774994,0.0
113,336.242758,6.7774353,0.0
114,336.83128,6.780304,0.0
115,336.19229,6.7826233,0.0
116,335.88622599999997,6.784485,0.0
117,335.77145199999995,6.785675,0.0
118,336.392534,6.7859497,0.0
119,337.188626,6.7856445,0.0
120,337.418988,6.8160095,0.0
121,337.737262,8.752014,0.0
122,337.50038800000004,32.582916,0.0
123,337.741332,68.661316,0.0
124,336.83372199999997,129.06018,0.0
125,337.61760400000003,262.99872,0.0
126,337.349798,602.86865,0.0
127,337.55980999999997,763.3489,0.0
128,337.32130800000004,792.7284,0.0
129,337.192696,782.5108,0.0
130,615.799662,711.97266,0.0
131,1932.905386,583.45337,0.0
132,1926.221632,585.10425,0.0
133,1922.753992,583.5067,0.0
134,1922.4235079999999,578.7931,0.0
135,1923.4336819999999,575.3011,0.0
136,1921.7250960000001,571.53705,0.0
137,1922.907838,568.4153,0.0
138,1921.410892,569.6264,0.0
139,1919.4108939999999,572.9061,0.0
140,1918.2916440000001,574.98535,0.0
141,1917.799988,577.71454,0.0
142,1915.2236779999998,577.28613,0.0
143,1915.08367,574.0264,0.0
144,1917.5924180000002,572.07996,0.0
145,1916.493518,570.62244,0.0
146,1919.847198,682.2604,0.29504395
147,1917.86755,726.56226,2.1707153
148,1916.15001,727.936,1.7139893
149,1916.2322239999999,670.03284,3.098999
150,1916.708414,491.15857,4.107361
